Date,Open,High,Low,Close,Volume
2023-04-04,166.595,166.84,165.11,165.63,46278295
2023-04-03,164.27,166.29,164.22,166.17,56976187
2023-03-31,162.44,165.0,161.91,164.9,68749792
2023-03-30,161.53,162.47,161.271,162.36,49501689
2023-03-29,159.37,161.05,159.35,160.77,51305691
2023-03-28,157.97,158.49,155.98,157.65,45992152
2023-03-27,159.94,160.77,157.87,158.28,52390266
2023-03-24,158.86,160.34,157.85,160.25,59256343
2023-03-23,158.83,161.5501,157.68,158.93,67622060
2023-03-22,159.3,162.14,157.81,157.83,75701811
2023-03-21,157.32,159.4,156.54,159.28,73938285
2023-03-20,155.07,157.82,154.15,157.4,73641415
2023-03-17,156.08,156.74,154.28,155.0,98944633
2023-03-16,152.16,156.46,151.64,155.85,76254419
2023-03-15,151.19,153.245,149.92,152.99,77167866
2023-03-14,151.28,153.4,150.1,152.59,73695893
2023-03-13,147.805,153.14,147.7,150.47,84457122
2023-03-10,150.21,150.94,147.6096,148.5,68572400
2023-03-09,153.559,154.535,150.225,150.59,53833582
2023-03-08,152.81,153.47,151.83,152.87,47204791
2023-03-07,153.7,154.0299,151.13,151.6,56182028
2023-03-06,153.785,156.3,153.46,153.83,87558028
2023-03-03,148.045,151.11,147.33,151.03,70732297
2023-03-02,144.38,146.71,143.9,145.91,52279761
2023-03-01,146.83,147.2285,145.01,145.31,55478991
2023-02-28,147.05,149.08,146.83,147.41,50546998
2023-02-27,147.71,149.17,147.45,147.92,44998470
2023-02-24,147.11,147.19,145.7202,146.71,55469606
2023-02-23,150.09,150.34,147.24,149.4,48394249
2023-02-22,148.87,149.95,147.16,148.91,51011305
2023-02-21,150.2,151.3,148.405,148.48,58867230
2023-02-17,152.35,153.0,150.85,152.55,59144118
2023-02-16,153.51,156.33,153.3475,153.71,68167942
2023-02-15,153.11,155.5,152.88,155.33,65669252
2023-02-14,152.12,153.77,150.86,153.2,61707573
2023-02-13,150.952,154.26,150.92,153.85,62199013
2023-02-10,149.46,151.3401,149.22,151.01,57450708
2023-02-09,153.775,154.33,150.42,150.87,56007143
2023-02-08,153.88,154.58,151.168,151.92,64120079
2023-02-07,150.64,155.23,150.64,154.65,83322551
2023-02-06,152.575,153.1,150.78,151.73,69858306
2023-02-03,148.03,157.38,147.83,154.5,154357337
2023-02-02,148.9,151.18,148.17,150.82,118338980
2023-02-01,143.97,146.61,141.32,145.43,77663633
2023-01-31,142.7,144.34,142.28,144.29,65874459
2023-01-30,144.955,145.55,142.85,143.0,64015274
2023-01-27,143.155,147.23,143.08,145.93,70555843
2023-01-26,143.17,144.25,141.9,143.96,54105068
2023-01-25,140.89,142.43,138.81,141.86,65799349
2023-01-24,140.305,143.16,140.3,142.53,66435142
2023-01-23,138.12,143.315,137.9,141.11,81760313
2023-01-20,135.28,138.02,134.22,137.87,80223626
2023-01-19,134.08,136.25,133.77,135.27,58280413
2023-01-18,136.815,138.61,135.03,135.21,69672800
2023-01-17,134.83,137.29,134.13,135.94,63646627
2023-01-13,132.03,134.92,131.66,134.76,57809719
2023-01-12,133.88,134.26,131.44,133.41,71379648
2023-01-11,131.25,133.51,130.46,133.49,69458949
2023-01-10,130.26,131.2636,128.12,130.73,63896155
2023-01-09,130.465,133.41,129.89,130.15,70790813
2023-01-06,126.01,130.29,124.89,129.62,87754715
2023-01-05,127.13,127.77,124.76,125.02,80962708
2023-01-04,126.89,128.6557,125.08,126.36,89113633
2023-01-03,130.28,130.9,124.17,125.07,112117471
2022-12-30,128.41,129.95,127.43,129.93,77034209
2022-12-29,127.99,130.4814,127.73,129.61,75703710
2022-12-28,129.67,131.0275,125.87,126.04,85438391
2022-12-27,131.38,131.41,128.72,130.03,69007830
2022-12-23,130.92,132.415,129.64,131.86,63814893
2022-12-22,134.352,134.56,130.3,132.23,77852108
2022-12-21,132.98,136.81,132.75,135.45,85927993
2022-12-20,131.39,133.25,129.89,132.3,77432819
2022-12-19,135.11,135.2,131.32,132.37,79592614
2022-12-16,136.685,137.65,133.73,134.51,160156900
2022-12-15,141.11,141.8,136.025,136.5,98931907
2022-12-14,145.35,146.655,141.16,143.21,82291182
2022-12-13,149.5,149.9692,144.24,145.47,93886161
2022-12-12,142.7,144.5,141.06,144.49,70462654
2022-12-09,142.34,145.57,140.9,142.16,76097011
2022-12-08,142.36,143.52,141.1,142.65,62128338
2022-12-07,142.19,143.37,140.0,140.94,69721094
2022-12-06,147.075,147.3,141.92,142.91,64727186
2022-12-05,147.77,150.9199,145.77,146.63,68826442
2022-12-02,145.96,148.0,145.65,147.81,65447446
2022-12-01,148.21,149.13,146.61,148.31,71250416
2022-11-30,141.395,148.72,140.55,148.03,111380880
2022-11-29,144.29,144.81,140.355,141.17,83763803
2022-11-28,145.14,146.64,143.38,144.22,69346522
2022-11-25,148.305,148.88,147.12,148.11,35195860
2022-11-23,149.45,151.83,149.34,151.07,58301395
2022-11-22,148.13,150.42,146.925,150.18,51804132
2022-11-21,150.16,150.37,147.715,148.01,58724070
2022-11-18,152.305,152.7,149.97,151.29,74829573
2022-11-17,146.43,151.48,146.15,150.72,80389400
2022-11-16,149.13,149.87,147.29,148.79,64218266
2022-11-15,152.215,153.59,148.5613,150.04,89868332
2022-11-14,148.97,150.28,147.43,148.28,73374114
2022-11-11,145.82,150.01,144.37,149.7,93979665
2022-11-10,141.24,146.87,139.5,146.87,118854028
2022-11-09,138.5,138.55,134.5933,134.87,74917794
